label,sample_date,index id,specimen,batch,Comment,person,R1,R2,I1,I2
mock comm- 10^6,,n729-s521,m22n729-s521,m22_p4,,mock comm- 10^6,reads/m22n729-s521_S383_L001_R1_001.fastq.gz,reads/m22n729-s521_S383_L001_R2_001.fastq.gz,reads/m22n729-s521_S383_L001_I1_001.fastq.gz,reads/m22n729-s521_S383_L001_I2_001.fastq.gz
mock comm-50 ul,,n729-s520,m22n729-s520,m22_p4,,mock comm-50 ul,reads/m22n729-s520_S382_L001_R1_001.fastq.gz,reads/m22n729-s520_S382_L001_R2_001.fastq.gz,reads/m22n729-s520_S382_L001_I1_001.fastq.gz,reads/m22n729-s520_S382_L001_I2_001.fastq.gz
mock comm-plasmid2,,n729-s522,m22n729-s522,m22_p4,,mock comm-plasmid2,reads/m22n729-s522_S384_L001_R1_001.fastq.gz,reads/m22n729-s522_S384_L001_R2_001.fastq.gz,reads/m22n729-s522_S384_L001_I1_001.fastq.gz,reads/m22n729-s522_S384_L001_I2_001.fastq.gz
mock,,n715-s520,m23n715-s520,m23_p3,,mock,reads/m23n715-s520_S286_L001_R1_001.fastq.gz,reads/m23n715-s520_S286_L001_R2_001.fastq.gz,reads/m23n715-s520_S286_L001_I1_001.fastq.gz,reads/m23n715-s520_S286_L001_I2_001.fastq.gz
mock,,n715-s521,m23n715-s521,m23_p3,,mock,reads/m23n715-s521_S287_L001_R1_001.fastq.gz,reads/m23n715-s521_S287_L001_R2_001.fastq.gz,reads/m23n715-s521_S287_L001_I1_001.fastq.gz,reads/m23n715-s521_S287_L001_I2_001.fastq.gz
mock,,n715-s522,m23n715-s522,m23_p3,,mock,reads/m23n715-s522_S288_L001_R1_001.fastq.gz,reads/m23n715-s522_S288_L001_R2_001.fastq.gz,reads/m23n715-s522_S288_L001_I1_001.fastq.gz,reads/m23n715-s522_S288_L001_I2_001.fastq.gz
mock comm- 10^6,,n729-s521,m48n729-s521,m48_p4,,mock comm- 10^6,reads/m48n729-s521_S383_L001_R1_001.fastq.gz,reads/m48n729-s521_S383_L001_R2_001.fastq.gz,reads/m48n729-s521_S383_L001_I1_001.fastq.gz,reads/m48n729-s521_S383_L001_I2_001.fastq.gz
mock comm-50 ul,,n729-s520,m48n729-s520,m48_p4,,mock comm-50 ul,reads/m48n729-s520_S382_L001_R1_001.fastq.gz,reads/m48n729-s520_S382_L001_R2_001.fastq.gz,reads/m48n729-s520_S382_L001_I1_001.fastq.gz,reads/m48n729-s520_S382_L001_I2_001.fastq.gz
mock comm-plasmid2,,n729-s522,m48n729-s522,m48_p4,,mock comm-plasmid2,reads/m48n729-s522_S384_L001_R1_001.fastq.gz,reads/m48n729-s522_S384_L001_R2_001.fastq.gz,reads/m48n729-s522_S384_L001_I1_001.fastq.gz,reads/m48n729-s522_S384_L001_I2_001.fastq.gz
